,S,Stiming
139,-0.2462800924445642,85.428875
140,-0.25876956962482006,86.03525
141,-0.24769948220850985,86.63425
142,-0.25194569082461377,87.234625
143,-0.25688166210065816,87.835375
144,-0.2587747145403402,88.4455
145,-0.24570691089369381,89.04875
146,-0.2531946639559547,89.669875
147,-0.2470908751426573,90.27425
148,-0.2527872909285931,90.909125
149,-0.2510167413204219,91.545125
150,-0.24012297280881745,92.2255
151,-0.2596399542368415,92.927
152,-0.238267266803867,93.608
153,-0.25809742203857733,94.2645
154,-0.2586886797711824,94.906125
155,-0.2543169052579759,95.53175
156,-0.25554636802268493,96.142125
157,-0.24487163528228048,96.755625
158,-0.2688993337972802,97.363375
159,-0.25046897030849496,97.981875
160,-0.25305873470001494,98.59075
161,-0.24012122610100833,99.208875
162,-0.2531629074963109,99.8385
163,-0.23627305803624266,100.4925
164,-0.24606766075271566,101.12525
165,-0.24800620161703896,101.792375
166,-0.2434286838068811,102.43675
167,-0.2521130520039929,103.08175
168,-0.25156822051146693,103.704
169,-0.26297454666046594,104.3315
170,-0.25592570384348967,104.955
171,-0.26084395914898584,105.58
172,-0.24773284810581037,106.199
173,-0.2471954190778387,106.81
174,-0.2570623435975612,107.427
175,-0.24426219238420555,108.042125
176,-0.2531432836766704,108.6575
177,-0.2436230819867784,109.2885
178,-0.25610544236765237,109.948125
179,-0.24395744372740946,110.605625
180,-0.2599192998529599,111.24075
181,-0.24417223185753245,111.86875
182,-0.27001723374008313,112.4925
183,-0.24975495792198477,113.098875
184,-0.257675576591371,113.692875
185,-0.24419186981541496,114.28275
186,-0.25345872510202394,114.8705
187,-0.2391395744790748,115.472625
188,-0.25192159407060344,116.083125
189,-0.2370741062305422,116.7215
190,-0.24965660830128703,117.38225
191,-0.23925805814060794,118.058
192,-0.2549848279679921,118.748
193,-0.250268965958534,119.4305
194,-0.2566684893047745,120.102625
195,-0.2520562213912467,120.736375
196,-0.2508489451290403,121.36725
197,-0.2531667482024143,121.981125
198,-0.2640564785485775,122.59425
199,-0.2522099363661007,123.184375
200,-0.2689741098939138,123.771
201,-0.2533265261997951,124.354125
202,-0.24141065826212793,124.954
