,P,Ptiming
125,-0.0195735099008338,76.293
126,-0.009258021778456993,76.882
127,-0.018063353120870144,77.4745
128,-0.00619001262763239,78.0425
129,-0.010681121993814288,78.633
130,-0.011301577318151516,79.319
131,-0.014758745370236423,80.0285
132,-0.011642066418918141,80.725
133,-0.012855152313487796,81.416
134,-0.0017471734407512123,82.0785
135,-0.009842842404610374,82.732
136,-0.010729246416197578,83.382
137,-0.013446456238640445,84.006
138,-0.012036365420337394,84.656
139,-0.012047849547124699,85.2835
140,-0.017396953505614286,85.89
141,-0.01067815977504635,86.487
142,-0.017617776258119187,87.084
143,-0.013219921047385938,87.688
144,-0.01500015746924568,88.3005
145,-0.00806629484923456,88.9035
146,-0.012484304166232816,89.52
147,-0.014639665066192546,90.127
148,-0.018448479856377806,90.766
149,-0.014769580863409931,91.3945
150,-0.012777402568688258,92.0835
151,-0.016042658622977254,92.784
152,-0.01574073618089598,93.46
153,-0.015421924648782722,94.121
154,-0.01629039029135462,94.765
155,-0.015933260810522334,95.387
156,-0.016115361772444454,95.999
157,-0.015632420332205202,96.61
158,-0.016493922634065558,97.219
159,-0.016906172465426327,97.838
160,-0.013342946971835294,98.444
161,-0.013524799293037008,99.0595
162,-0.017003652143088757,99.6955
163,-0.007973557523119623,100.36
164,-0.01609605595868005,100.986
165,-0.016113983263585825,101.648
166,-0.011422270078502264,102.318
167,-0.01854535244374724,102.9425
168,-0.012279940094047323,103.5555
169,-0.018096821579806806,104.1865
170,-0.01527263658890108,104.8095
171,-0.022211397182492668,105.4325
172,-0.015959119942504665,106.055
173,-0.014842259008127193,106.6715
174,-0.01952785248554711,107.28
175,-0.021096905595069538,107.88
176,-0.017784224160894868,108.516
177,-0.013642271238360634,109.1475
178,-0.020807425618088092,109.8025
179,-0.014376873694750669,110.462
180,-0.018704646716645554,111.0975
181,-0.012057467057351764,111.724
182,-0.019526647673992478,112.347
183,-0.013756269422887143,112.953
184,-0.01405308674829276,113.552
185,-0.014398863933765632,114.1375
186,-0.018990372114903557,114.7295
187,-0.016313178996722216,115.322
188,-0.016915758891947772,115.934
189,-0.015736972859192604,116.5775
190,-0.013605163561945615,117.2355
191,-0.015452621696615983,117.9125
192,-0.020367427982663874,118.602
193,-0.013041282736654291,119.2845
194,-0.018837015407676582,119.954
195,-0.015574703865456018,120.5895
196,-0.014609009411755646,121.2215
197,-0.017081311598852986,121.839
198,-0.015783446594097895,122.45
199,-0.0072174363417184355,123.0305
200,-0.01651422346812382,123.6235
201,-0.02265471217455453,124.206
202,0.00946491304207046,124.8015
