,Q,Qtiming
165,-0.03451726439481332,102.356875
166,-0.03005965138723282,102.982875
167,-0.031126171759828472,103.63225
168,-0.03514322485756274,104.236375
169,-0.029955155452807823,104.860625
170,-0.032771000129109336,105.507
171,-0.03216760486988575,106.1055
172,-0.02996784103282906,106.718375
173,-0.033535044730341315,107.355625
174,-0.03029074779444765,107.950625
175,-0.032480722438508726,108.556
176,-0.027927731228216537,109.224125
177,-0.031052190319730232,109.847625
178,-0.02825283801029837,110.517875
179,-0.032395887371540075,111.1505
180,-0.02916187035332046,111.800875
181,-0.03447084891996769,112.413125
182,-0.03188450459711554,113.029125
183,-0.03275109702951759,113.590625
184,-0.03175516212643907,114.189
185,-0.03534325295526703,114.777125
186,-0.029435484516141433,115.391125
187,-0.030300249688800976,116.014625
188,-0.028651680460230648,116.6225
